"","decayrate","logsd","sdmean","saleprob"
"1",0.88,1.13902253738292,0.199911129214682,0.0679678804423531
"2",0.882,1.13451572631661,0.199907258572414,0.0674551884773645
"3",0.884,1.12998049767912,0.199904764113793,0.0669356366417814
"4",0.886,1.12538524745779,0.199899674724216,0.0664080386275411
"5",0.888,1.12077993089973,0.199896694982083,0.0658692469213229
"6",0.89,1.11613198672113,0.199890127416503,0.0653218449442018
"7",0.892,1.1114443214848,0.199891729417338,0.0647657636748096
"8",0.894,1.10672479431111,0.199891624687485,0.0641995956600833
"9",0.896,1.10196636161096,0.19988397013322,0.0636242031601969
"10",0.898,1.09716101877654,0.199879944141319,0.0630370205632632
"11",0.9,1.0923213712559,0.199878286211025,0.0624416911883166
"12",0.902,1.08744227447356,0.199873904778593,0.0618362865517188
"13",0.904,1.08251265578724,0.199869237130852,0.0612180387605071
"14",0.906,1.07745157095056,0.199841716992573,0.06059613220297
"15",0.908,1.07244311917621,0.199837687099334,0.0599563378109239
"16",0.91,1.06737623432441,0.199828550584464,0.0593063637055303
"17",0.912,1.06227827376751,0.199829163084934,0.0586449449176301
"18",0.914,1.05713371951235,0.199823142929579,0.0579716084049263
"19",0.916,1.0519305643437,0.199814816077491,0.057285745527139
"20",0.918,1.04669296484817,0.199813224278251,0.0565855435324804
"21",0.92,1.04139549182123,0.199807059209065,0.0558751399153945
"22",0.922,1.03603976904585,0.199797199180342,0.0551495095567655
"23",0.924,1.03064903850266,0.199791083034315,0.0544108876426658
"24",0.926,1.02520409780545,0.199784640188141,0.0536578528375975
"25",0.928,1.01970655300934,0.199774731857292,0.0528900175107303
"26",0.93,1.01416282099419,0.199762388815543,0.0521059524169047
"27",0.932,1.00856574160143,0.199751013803682,0.0513071517259992
"28",0.934,1.0029262965195,0.199738665167198,0.0504910675588256
"29",0.936,0.997215997342999,0.199723364728417,0.0496592012438074
"30",0.938,0.991566838465998,0.199729356484557,0.0488052296021437
"31",0.94,0.985759779301131,0.199707297738599,0.0479372377244708
"32",0.942,0.980014758049192,0.199706271120941,0.0470466907450754
"33",0.944,0.974159778690588,0.199684442738412,0.0461367840736683
"34",0.946,0.96832697403702,0.199668836991511,0.0452058743491999
"35",0.948,0.962468874577653,0.199650397926731,0.0442506515253041
"36",0.95,0.956623192166733,0.199639899496582,0.0432730901318972
"37",0.952,0.950800457498427,0.199616641334571,0.0422680083179623
"38",0.954,0.945007246500254,0.199602122817066,0.0412386011069268
"39",0.956,0.939273456563489,0.199580517465617,0.0401788475612275
"40",0.958,0.933661215223789,0.199556869776585,0.039088037357384
"41",0.96,0.928167164321548,0.199529547679015,0.0379650248263703
"42",0.962,0.922824612507223,0.199492036700626,0.0368091135763313
"43",0.964,0.917795654825141,0.19946001555588,0.0356140254527211
"44",0.966,0.913226638739543,0.199443271418058,0.0343744333079902
"45",0.968,0.909080669884857,0.199403201078513,0.0330927019264358
"46",0.97,0.905661384054075,0.199362036950079,0.0317597579235468
"47",0.972,0.903178841756132,0.199300344796737,0.0303732381979836
"48",0.974,0.902167919713839,0.199256745886849,0.0289218397352262
"49",0.976,0.90314004092445,0.199187341515288,0.0273988218683871
"50",0.978,0.907083328434018,0.199099231837497,0.0257925235605633
"51",0.98,0.915715141160527,0.198993217704105,0.0240856308668281
