"","logsd","decayrate","sdmean","saleprob"
"1",0.5,0.971831908251577,0.100246537198965,0.0497581827555325
"2",0.52,0.970589647750664,0.104207003211059,0.0497582855118981
"3",0.54,0.969334003712398,0.108169028063636,0.0497586038495958
"4",0.56,0.968065687464875,0.11214015669608,0.049759681354773
"5",0.58,0.966783190959777,0.116119552657975,0.0497609234993459
"6",0.6,0.965485477014855,0.120103820420422,0.0497620128303965
"7",0.62,0.964174487716396,0.124089711632975,0.0497619090084185
"8",0.64,0.962848017888655,0.128086004115201,0.0497620834614201
"9",0.66,0.961505590665008,0.132084569989313,0.0497631582374303
"10",0.68,0.960146669718476,0.136088357770443,0.0497652518005622
"11",0.7,0.95877054254885,0.140094794274128,0.0497654050012277
"12",0.72,0.95737710388815,0.144105570939551,0.0497674400891211
"13",0.74,0.955964806454532,0.148118483660166,0.0497683437864815
"14",0.76,0.954533985787287,0.1521324089136,0.0497686174188512
"15",0.78,0.953082810194198,0.156147573070914,0.0497711891236911
"16",0.8,0.951610576819671,0.160165897088597,0.0497720008713792
"17",0.82,0.950117578487414,0.164178153764873,0.0497737581024097
"18",0.84,0.948600364788592,0.168189586103759,0.0497758819744575
"19",0.86,0.947061955632145,0.172203109351673,0.049776161983454
"20",0.88,0.945497388733753,0.176210384950608,0.0497789690592772
"21",0.9,0.943907044014708,0.180211790831949,0.0497815296818316
"22",0.92,0.942290692048811,0.184206650010151,0.0497817759988468
"23",0.94,0.940645808031051,0.18819503708306,0.0497827492766534
"24",0.96,0.938971519808618,0.192175520408507,0.0497849721328739
"25",0.98,0.937265410148398,0.196147929460003,0.0497866116438253
"26",1,0.935527845734772,0.200105906172354,0.0497884245829866
"27",1.02,0.933755487053382,0.204049147263495,0.0497896419492434
"28",1.04,0.931946750772746,0.207976019761558,0.0497912517865113
"29",1.06,0.930099532617678,0.211888801197608,0.0497932216150375
"30",1.08,0.928212234695919,0.215777682614005,0.0497951153555689
"31",1.1,0.926283012677857,0.219644972547609,0.0497973370479434
"32",1.12,0.924307963640036,0.223490550601686,0.0497994670458186
"33",1.14,0.922286151879939,0.227307074681549,0.0498010612196668
"34",1.16,0.920213309284042,0.231095323786774,0.0498028905400559
"35",1.18,0.918087297583006,0.234851676690125,0.0498054259101167
"36",1.2,0.915903534073947,0.238567909509081,0.0498073436819839
"37",1.22,0.913659325379843,0.242244698160844,0.049810202422335
"38",1.24,0.91134880436164,0.245876772686137,0.0498138894198373
"39",1.26,0.908967200300205,0.249453726952524,0.0498169826832073
"40",1.28,0.906512314651657,0.252980096737065,0.0498198655753549
"41",1.3,0.903975886574479,0.256437012595243,0.0498214907303091
"42",1.32,0.901352793219424,0.25983712967396,0.0498254802808422
"43",1.34,0.898637120530556,0.263157077112154,0.0498287774124475
"44",1.36,0.895818710635784,0.26639771834597,0.0498330204973402
"45",1.38,0.892892304108282,0.269550099210657,0.0498358478233876
"46",1.4,0.8898455709104,0.272606217345277,0.0498389515097463
"47",1.42,0.886669986342795,0.275550861774397,0.0498428880725064
"48",1.44,0.883355525883821,0.278380938101475,0.049846422652844
"49",1.46,0.879882878096087,0.28107802855834,0.0498508361997866
"50",1.48,0.876244623940699,0.283647032077365,0.0498540594463805
"51",1.5,0.872418338192234,0.286049755874995,0.0498580172915672
